MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
11/19/2019 17:35:49,0,3.99,0,FR1_Light_tracking,Poke,Left,0,1,0,nan
11/19/2019 17:36:00,0,3.99,0,FR1_Light_tracking,Poke,Left,1,1,0,nan
11/19/2019 17:36:13,0,3.98,2,FR1_Light_tracking,Pellet,Left,1,1,1,7
11/19/2019 17:37:02,0,3.98,0,FR1_Light_tracking,Poke,Left,1,2,1,nan
11/19/2019 17:37:51,0,3.98,0,FR1_Light_tracking,Poke,Left,2,2,1,nan
11/19/2019 17:38:05,0,4.09,2,FR1_Light_tracking,Pellet,Left,2,2,2,9
11/19/2019 17:38:38,0,3.98,0,FR1_Light_tracking,Poke,Left,2,3,2,nan
11/19/2019 17:40:31,0,3.98,0,FR1_Light_tracking,Poke,Left,3,3,2,nan
11/19/2019 17:40:43,0,3.98,3,FR1_Light_tracking,Pellet,Left,3,3,3,4
11/19/2019 17:40:57,0,3.98,0,FR1_Light_tracking,Poke,Right,4,3,3,nan
11/19/2019 17:40:58,0,3.98,0,FR1_Light_tracking,Poke,Right,4,3,3,nan
11/19/2019 17:42:24,0,3.98,0,FR1_Light_tracking,Poke,Right,5,3,3,nan
11/19/2019 17:42:24,0,3.98,0,FR1_Light_tracking,Poke,Right,5,3,3,nan
11/19/2019 17:42:30,0,3.98,0,FR1_Light_tracking,Poke,Right,5,4,3,nan
11/19/2019 17:42:43,0,3.98,2,FR1_Light_tracking,Pellet,Right,5,4,4,8
11/19/2019 17:50:23,0,3.98,0,FR1_Light_tracking,Poke,Left,6,4,4,nan
11/19/2019 17:50:39,0,4.08,2,FR1_Light_tracking,Pellet,Left,6,4,5,11
11/19/2019 19:10:03,0,3.98,0,FR1_Light_tracking,Poke,Right,6,5,5,nan
11/19/2019 19:10:18,0,4.07,5,FR1_Light_tracking,Pellet,Right,6,5,6,3
11/19/2019 19:10:43,0,3.97,0,FR1_Light_tracking,Poke,Right,7,5,6,nan
11/19/2019 19:10:43,0,3.97,0,FR1_Light_tracking,Poke,Right,7,5,6,nan
11/19/2019 19:10:46,0,3.97,0,FR1_Light_tracking,Poke,Right,8,5,6,nan
11/19/2019 19:10:46,0,3.97,0,FR1_Light_tracking,Poke,Right,8,5,6,nan
11/19/2019 20:16:14,0,3.97,0,FR1_Light_tracking,Poke,Right,9,5,6,nan
11/19/2019 20:16:15,0,3.97,0,FR1_Light_tracking,Poke,Right,9,5,6,nan
11/19/2019 20:16:20,0,3.97,0,FR1_Light_tracking,Poke,Right,9,6,6,nan
11/19/2019 20:16:40,0,3.96,6,FR1_Light_tracking,Pellet,Right,9,6,7,3
11/19/2019 20:16:56,0,3.97,0,FR1_Light_tracking,Poke,Right,10,6,7,nan
11/19/2019 20:16:56,0,3.97,0,FR1_Light_tracking,Poke,Right,10,6,7,nan
11/19/2019 20:17:05,0,3.97,0,FR1_Light_tracking,Poke,Right,10,7,7,nan
11/19/2019 20:17:21,0,3.96,3,FR1_Light_tracking,Pellet,Right,10,7,8,9
11/19/2019 20:19:46,0,3.97,0,FR1_Light_tracking,Poke,Right,11,7,8,nan
11/19/2019 20:19:47,0,3.97,0,FR1_Light_tracking,Poke,Right,11,7,8,nan
11/19/2019 20:19:50,0,3.96,0,FR1_Light_tracking,Poke,Right,12,7,8,nan
11/19/2019 20:19:51,0,3.96,0,FR1_Light_tracking,Poke,Right,12,7,8,nan
11/19/2019 20:19:52,0,3.97,0,FR1_Light_tracking,Poke,Right,13,7,8,nan
11/19/2019 20:19:52,0,3.97,0,FR1_Light_tracking,Poke,Right,13,7,8,nan
11/19/2019 20:19:59,0,3.97,0,FR1_Light_tracking,Poke,Right,14,7,8,nan
11/19/2019 20:19:59,0,3.97,0,FR1_Light_tracking,Poke,Right,14,7,8,nan
11/19/2019 20:20:04,0,3.97,0,FR1_Light_tracking,Poke,Right,14,8,8,nan
11/19/2019 20:20:20,0,3.97,2,FR1_Light_tracking,Pellet,Right,14,8,9,8
11/19/2019 20:20:37,0,3.97,0,FR1_Light_tracking,Poke,Right,14,9,9,nan
11/19/2019 20:20:51,0,4.07,2,FR1_Light_tracking,Pellet,Right,14,9,10,8
11/19/2019 20:31:01,0,3.96,0,FR1_Light_tracking,Poke,Left,15,9,10,nan
11/19/2019 20:31:15,0,4.06,3,FR1_Light_tracking,Pellet,Left,15,9,11,7
11/19/2019 20:38:31,0,3.96,0,FR1_Light_tracking,Poke,Left,16,9,11,nan
11/19/2019 20:38:44,0,4.06,3,FR1_Light_tracking,Pellet,Left,16,9,12,5
11/19/2019 22:34:35,0,3.96,0,FR1_Light_tracking,Poke,Left,17,9,12,nan
11/19/2019 22:34:49,0,3.96,1,FR1_Light_tracking,Pellet,Left,17,9,13,10
11/19/2019 22:35:36,0,3.95,0,FR1_Light_tracking,Poke,Left,17,10,13,nan
11/19/2019 22:35:39,0,3.96,0,FR1_Light_tracking,Poke,Left,17,11,13,nan
11/19/2019 22:35:52,0,3.95,0,FR1_Light_tracking,Poke,Left,17,12,13,nan
11/19/2019 22:35:55,0,3.95,0,FR1_Light_tracking,Poke,Left,18,12,13,nan
11/19/2019 22:36:10,0,3.96,2,FR1_Light_tracking,Pellet,Left,18,12,14,9
11/19/2019 22:37:26,0,3.96,0,FR1_Light_tracking,Poke,Left,19,12,14,nan
11/19/2019 22:37:39,0,3.96,2,FR1_Light_tracking,Pellet,Left,19,12,15,7
11/19/2019 22:37:53,0,3.96,0,FR1_Light_tracking,Poke,Right,20,12,15,nan
11/19/2019 22:37:53,0,3.96,0,FR1_Light_tracking,Poke,Right,20,12,15,nan
11/20/2019 0:20:33,0,3.94,0,FR1_Light_tracking,Poke,Right,21,12,15,nan
11/20/2019 0:20:33,0,3.94,0,FR1_Light_tracking,Poke,Right,21,12,15,nan
11/20/2019 0:20:35,0,3.94,0,FR1_Light_tracking,Poke,Right,22,12,15,nan
11/20/2019 0:20:36,0,3.94,0,FR1_Light_tracking,Poke,Right,22,12,15,nan
11/20/2019 0:20:37,0,3.94,0,FR1_Light_tracking,Poke,Right,23,12,15,nan
11/20/2019 0:20:37,0,3.94,0,FR1_Light_tracking,Poke,Right,23,12,15,nan
11/20/2019 0:20:46,0,3.94,0,FR1_Light_tracking,Poke,Right,24,12,15,nan
11/20/2019 0:20:47,0,3.94,0,FR1_Light_tracking,Poke,Right,24,12,15,nan
11/20/2019 0:20:50,0,3.94,0,FR1_Light_tracking,Poke,Right,24,13,15,nan
11/20/2019 0:21:05,0,3.94,1,FR1_Light_tracking,Pellet,Right,24,13,16,12
11/20/2019 0:21:21,0,3.94,0,FR1_Light_tracking,Poke,Left,25,13,16,nan
11/20/2019 0:21:37,0,3.94,2,FR1_Light_tracking,Pellet,Left,25,13,17,9
11/20/2019 0:21:57,0,3.94,0,FR1_Light_tracking,Poke,Right,26,13,17,nan
11/20/2019 0:21:58,0,3.94,0,FR1_Light_tracking,Poke,Right,26,13,17,nan
11/20/2019 0:22:03,0,3.95,0,FR1_Light_tracking,Poke,Right,27,13,17,nan
11/20/2019 0:22:04,0,3.95,0,FR1_Light_tracking,Poke,Right,27,13,17,nan
11/20/2019 0:22:05,0,3.94,0,FR1_Light_tracking,Poke,Right,28,13,17,nan
11/20/2019 0:22:06,0,3.94,0,FR1_Light_tracking,Poke,Right,28,13,17,nan
11/20/2019 0:22:09,0,3.94,0,FR1_Light_tracking,Poke,Right,29,13,17,nan
11/20/2019 0:22:09,0,3.94,0,FR1_Light_tracking,Poke,Right,29,13,17,nan
11/20/2019 0:22:12,0,3.94,0,FR1_Light_tracking,Poke,Right,30,13,17,nan
11/20/2019 0:22:13,0,3.94,0,FR1_Light_tracking,Poke,Right,30,13,17,nan
11/20/2019 0:22:18,0,3.94,0,FR1_Light_tracking,Poke,Right,30,14,17,nan
11/20/2019 0:22:33,0,4.04,3,FR1_Light_tracking,Pellet,Right,30,14,18,8
11/20/2019 0:22:44,0,3.95,0,FR1_Light_tracking,Poke,Right,30,15,18,nan
11/20/2019 0:22:54,0,3.94,2,FR1_Light_tracking,Pellet,Right,30,15,19,5
11/20/2019 1:21:37,0,3.94,0,FR1_Light_tracking,Poke,Left,31,15,19,nan
11/20/2019 1:21:51,0,3.94,2,FR1_Light_tracking,Pellet,Left,31,15,20,8
11/20/2019 1:22:04,0,3.94,0,FR1_Light_tracking,Poke,Right,32,15,20,nan
11/20/2019 1:22:04,0,3.94,0,FR1_Light_tracking,Poke,Right,32,15,20,nan
11/20/2019 1:22:07,0,3.94,0,FR1_Light_tracking,Poke,Right,33,15,20,nan
11/20/2019 1:22:07,0,3.94,0,FR1_Light_tracking,Poke,Right,33,15,20,nan
11/20/2019 1:22:15,0,3.94,0,FR1_Light_tracking,Poke,Right,33,16,20,nan
11/20/2019 1:22:28,0,4.03,2,FR1_Light_tracking,Pellet,Right,33,16,21,9
11/20/2019 2:28:10,0,3.93,0,FR1_Light_tracking,Poke,Left,34,16,21,nan
11/20/2019 2:28:26,0,3.93,2,FR1_Light_tracking,Pellet,Left,34,16,22,10
11/20/2019 2:29:06,0,3.93,0,FR1_Light_tracking,Poke,Left,35,16,22,nan
11/20/2019 2:29:21,0,3.94,2,FR1_Light_tracking,Pellet,Left,35,16,23,9
11/20/2019 2:29:44,0,3.93,0,FR1_Light_tracking,Poke,Right,35,17,23,nan
11/20/2019 2:29:57,0,3.93,2,FR1_Light_tracking,Pellet,Right,35,17,24,7
11/20/2019 2:30:17,0,3.93,0,FR1_Light_tracking,Poke,Right,36,17,24,nan
11/20/2019 2:30:18,0,3.93,0,FR1_Light_tracking,Poke,Right,36,17,24,nan
11/20/2019 2:30:22,0,3.93,0,FR1_Light_tracking,Poke,Right,37,17,24,nan
11/20/2019 2:30:22,0,3.93,0,FR1_Light_tracking,Poke,Right,37,17,24,nan
11/20/2019 2:30:29,0,3.94,0,FR1_Light_tracking,Poke,Right,37,18,24,nan
11/20/2019 2:30:45,0,3.94,3,FR1_Light_tracking,Pellet,Right,37,18,25,6
11/20/2019 2:33:34,0,3.93,0,FR1_Light_tracking,Poke,Right,38,18,25,nan
11/20/2019 2:33:35,0,3.93,0,FR1_Light_tracking,Poke,Right,38,18,25,nan
11/20/2019 3:11:39,0,3.93,0,FR1_Light_tracking,Poke,Right,39,18,25,nan
11/20/2019 3:11:40,0,3.93,0,FR1_Light_tracking,Poke,Right,39,18,25,nan
11/20/2019 3:11:41,0,3.93,0,FR1_Light_tracking,Poke,Right,40,18,25,nan
