MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
11/18/2019 17:34:57,0,4.10,0,FR1_Light_tracking,Poke,Left,1,0,0,nan
11/18/2019 17:35:08,0,4.10,1,FR1_Light_tracking,Pellet,Left,1,0,1,8
11/18/2019 17:37:14,0,4.11,0,FR1_Light_tracking,Poke,Left,2,0,1,nan
11/18/2019 17:37:28,0,4.09,1,FR1_Light_tracking,Pellet,Left,2,0,2,10
11/18/2019 17:39:57,0,4.10,0,FR1_Light_tracking,Poke,Left,3,0,2,nan
11/18/2019 17:40:09,0,4.10,2,FR1_Light_tracking,Pellet,Left,3,0,3,8
11/18/2019 17:43:10,0,4.10,0,FR1_Light_tracking,Poke,Right,4,0,3,nan
11/18/2019 17:43:10,0,4.10,0,FR1_Light_tracking,Poke,Right,4,0,3,nan
11/18/2019 17:47:30,0,4.10,0,FR1_Light_tracking,Poke,Right,5,0,3,nan
11/18/2019 17:47:31,0,4.10,0,FR1_Light_tracking,Poke,Right,5,0,3,nan
11/18/2019 17:47:35,0,4.11,0,FR1_Light_tracking,Poke,Right,6,0,3,nan
11/18/2019 17:47:36,0,4.11,0,FR1_Light_tracking,Poke,Right,6,0,3,nan
11/18/2019 17:47:37,0,4.11,0,FR1_Light_tracking,Poke,Right,7,0,3,nan
11/18/2019 17:47:38,0,4.11,0,FR1_Light_tracking,Poke,Right,7,0,3,nan
11/18/2019 19:45:04,0,4.09,0,FR1_Light_tracking,Poke,Right,8,0,3,nan
11/18/2019 19:45:04,0,4.09,0,FR1_Light_tracking,Poke,Right,8,0,3,nan
11/18/2019 19:45:11,0,4.09,0,FR1_Light_tracking,Poke,Right,9,0,3,nan
11/18/2019 19:45:11,0,4.09,0,FR1_Light_tracking,Poke,Right,9,0,3,nan
11/18/2019 19:45:14,0,4.08,0,FR1_Light_tracking,Poke,Right,10,0,3,nan
11/18/2019 19:45:14,0,4.08,0,FR1_Light_tracking,Poke,Right,10,0,3,nan
11/18/2019 19:45:18,0,4.09,0,FR1_Light_tracking,Poke,Right,11,0,3,nan
11/18/2019 19:45:18,0,4.09,0,FR1_Light_tracking,Poke,Right,11,0,3,nan
11/18/2019 19:45:39,0,4.08,0,FR1_Light_tracking,Poke,Right,11,1,3,nan
11/18/2019 19:45:59,0,4.08,3,FR1_Light_tracking,Pellet,Right,11,1,4,12
11/18/2019 19:46:31,0,4.08,0,FR1_Light_tracking,Poke,Left,12,1,4,nan
11/18/2019 19:46:45,0,4.18,3,FR1_Light_tracking,Pellet,Left,12,1,5,7
11/18/2019 19:47:08,0,4.09,0,FR1_Light_tracking,Poke,Right,13,1,5,nan
11/18/2019 19:47:09,0,4.09,0,FR1_Light_tracking,Poke,Right,13,1,5,nan
11/18/2019 19:47:12,0,4.08,0,FR1_Light_tracking,Poke,Right,14,1,5,nan
11/18/2019 19:47:12,0,4.08,0,FR1_Light_tracking,Poke,Right,14,1,5,nan
11/18/2019 19:47:14,0,4.08,0,FR1_Light_tracking,Poke,Right,15,1,5,nan
11/18/2019 19:47:15,0,4.08,0,FR1_Light_tracking,Poke,Right,15,1,5,nan
11/18/2019 19:47:38,0,4.09,0,FR1_Light_tracking,Poke,Right,16,1,5,nan
11/18/2019 19:47:38,0,4.09,0,FR1_Light_tracking,Poke,Right,16,1,5,nan
11/18/2019 19:47:40,0,4.08,0,FR1_Light_tracking,Poke,Right,17,1,5,nan
