MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/23/2019 15:48:00,0,3.61,0,FR1_Light_tracking,Poke,Left,1,0,0,nan
12/23/2019 15:53:58,0,3.61,2,FR1_Light_tracking,Pellet,Left,1,0,1,1
12/23/2019 15:57:18,0,3.61,0,FR1_Light_tracking,Poke,Left,2,0,1,nan
12/23/2019 16:04:51,0,3.61,2,FR1_Light_tracking,Pellet,Left,2,0,2,205
12/23/2019 16:18:20,0,3.60,0,FR1_Light_tracking,Poke,Left,3,0,2,nan
12/23/2019 16:18:42,0,3.67,2,FR1_Light_tracking,Pellet,Left,3,0,3,18
12/23/2019 16:21:33,0,3.60,0,FR1_Light_tracking,Poke,Right,4,0,3,nan
12/23/2019 16:28:44,0,3.60,0,FR1_Light_tracking,Poke,Right,4,1,3,nan
12/23/2019 16:28:55,0,3.67,2,FR1_Light_tracking,Pellet,Right,4,1,4,6
12/23/2019 16:35:13,0,3.61,0,FR1_Light_tracking,Poke,Left,5,1,4,nan
12/23/2019 16:35:19,0,3.67,2,FR1_Light_tracking,Pellet,Left,5,1,5,2
12/23/2019 16:36:19,0,3.61,0,FR1_Light_tracking,Poke,Right,6,1,5,nan
12/23/2019 16:36:32,0,3.61,0,FR1_Light_tracking,Poke,Right,6,2,5,nan
12/23/2019 16:36:37,0,3.67,2,FR1_Light_tracking,Pellet,Right,6,2,6,2
12/23/2019 16:37:36,0,3.61,0,FR1_Light_tracking,Poke,Right,7,2,6,nan
12/23/2019 16:39:10,0,3.61,0,FR1_Light_tracking,Poke,Right,8,2,6,nan
12/23/2019 16:48:27,0,3.61,0,FR1_Light_tracking,Poke,Right,8,3,6,nan
12/23/2019 16:48:43,0,3.67,2,FR1_Light_tracking,Pellet,Right,8,3,7,12
12/23/2019 17:26:01,0,3.60,0,FR1_Light_tracking,Poke,Right,9,3,7,nan
12/23/2019 17:29:01,0,3.61,0,FR1_Light_tracking,Poke,Right,9,4,7,nan
12/23/2019 17:29:52,0,3.67,3,FR1_Light_tracking,Pellet,Right,9,4,8,46
12/23/2019 17:42:38,0,3.61,0,FR1_Light_tracking,Poke,Right,10,4,8,nan
12/23/2019 19:20:24,0,3.61,0,FR1_Light_tracking,Poke,Right,11,4,8,nan
12/23/2019 19:20:38,0,3.61,0,FR1_Light_tracking,Poke,Right,12,4,8,nan
12/23/2019 19:20:59,0,3.60,0,FR1_Light_tracking,Poke,Right,12,5,8,nan
12/23/2019 19:21:05,0,3.67,2,FR1_Light_tracking,Pellet,Right,12,5,9,2
12/23/2019 19:22:14,0,3.60,0,FR1_Light_tracking,Poke,Right,12,6,9,nan
